movie,year,numberofwords,time,toptenwords
TheBiblesrt,1966,6471,167.47mins,"['shall', 'l', 'thou', 'thy', 'god', 'will', 'thee', 'earth', 'his', 'unto']"
TheProfessionalssrt,1966,5449,116.93mins,"['your', 'they', 'grant', 'how', 'll', 'are', 'raza', 'him', 're', 'if']"
TheRussiansAreComingtheRussiansAreComingsrt,1966,8925,124.82mins,"['are', 'there', 'they', 'here', 're', 'do', 'll', 'out', 'right', 'just']"
TheSandPebblessrt,1966,11406,180.76mins,"['come', 'they', 'go', 'll', 'here', 'him', 'do', 'up', 'your', 'will']"
WhosAfraidofVirginiaWoolfsrt,1966,15912,130.93mins,"['martha', 'do', 'your', 'm', 're', 'right', 'know', 'yes', 'george', 'about']"
BonnieandClydesrt,1967,8405,103.68mins,"['re', 'just', 'do', 'now', 'they', 'your', 'there', 'want', 'here', 'm']"
Camelotsrt,1967,11293,177.29mins,"['your', 'do', 'wiii', 'aii', 'are', 'there', 'king', 'they', 'but', 'with']"
DoctorDolittlesrt,1967,14627,148.48mins,"['do', 'with', 'll', 'are', 'there', 'if', 'doctor', 'good', 've', 'as']"
GuessWhosComingtoDinnersrt,1967,11264,106.97mins,"['re', 'know', 'll', 'they', 'but', 'your', 'are', 'm', 'there', 'with']"
InTheHeatOfTheNightsrt,1967,7952,105.37mins,"['him', 'do', 'know', 'here', 'got', 'right', 'up', 'now', 'man', 'your']"
TheDirtyDozensrt,1967,11834,143.32mins,"['come', 'right', 're', 'they', 'do', 'major', 'now', 'are', 'let', 'up']"
TheGraduatesrt,1967,10637,106.00mins,"['dee', 'do', 'm', 'just', 'benjamin', 'are', 'know', 'think', 'now', 'elaine']"
